matricula;tipus;dia_hora;durada;hora;dia_setmana;dia_setmana_dec
6318 XXE;1;2023-11-11 22:48:01;2629;22.8;5;6.0
6318 XXE;1;2023-05-06 20:32:43;898;20.5;5;5.9
6318 XXE;1;2023-01-28 18:27:02;14731;18.5;5;5.8
9982 CVM;1;2023-01-01 21:31:32;13004;21.5;6;6.9
9982 CVM;1;2023-08-26 19:34:00;8220;19.6;5;5.8
9982 CVM;1;2023-10-14 19:39:43;6717;19.7;5;5.8
9982 CVM;1;2023-05-07 21:52:47;8826;21.9;6;6.9
9982 CVM;1;2023-11-18 22:16:27;10853;22.3;5;5.9
9982 CVM;1;2023-01-22 23:01:07;8238;23.0;6;7.0
9982 CVM;1;2023-01-28 20:57:04;9182;21.0;5;5.9
9982 CVM;1;2023-02-12 22:12:14;14496;22.2;6;6.9
9982 CVM;1;2023-12-23 21:27:04;10371;21.5;5;5.9
9982 CVM;1;2023-10-28 21:04:18;7964;21.1;5;5.9
9982 CVM;1;2023-05-13 20:33:22;8890;20.6;5;5.9
9982 CVM;1;2023-03-19 20:23:16;9938;20.4;6;6.8
9982 CVM;1;2023-07-09 22:11:01;14089;22.2;6;6.9
9982 CVM;1;2023-08-27 21:18:29;4501;21.3;6;6.9
9982 CVM;1;2023-12-24 21:28:52;7222;21.5;6;6.9
9982 CVM;1;2023-03-05 20:42:00;7911;20.7;6;6.9
9982 CVM;1;2023-02-04 22:04:56;10511;22.1;5;5.9
9982 CVM;1;2023-03-25 19:45:23;8561;19.8;5;5.8
9982 CVM;1;2023-10-21 17:41:47;8838;17.7;5;5.7
9982 CVM;1;2023-02-05 20:13:51;2277;20.2;6;6.8
9982 CVM;1;2023-02-26 20:57:09;9207;21.0;6;6.9
9982 CVM;1;2023-01-07 21:24:04;12034;21.4;5;5.9
9982 CVM;1;2023-10-22 20:42:39;3283;20.7;6;6.9
9982 CVM;1;2023-06-03 19:56:17;10035;19.9;5;5.8
9982 CVM;1;2023-07-01 21:14:34;6780;21.2;5;5.9
9982 CVM;1;2023-06-25 20:56:17;16478;20.9;6;6.9
9982 CVM;1;2023-04-08 21:11:14;2816;21.2;5;5.9
9982 CVM;1;2023-03-26 20:43:09;13662;20.7;6;6.9
9982 CVM;1;2023-11-04 20:28:06;12104;20.5;5;5.9
9982 CVM;1;2023-04-29 21:34:24;14662;21.6;5;5.9
9982 CVM;1;2023-08-12 19:21:47;10313;19.4;5;5.8
9982 CVM;1;2023-02-19 20:10:04;9423;20.2;6;6.8
9982 CVM;1;2023-12-02 21:43:16;8896;21.7;5;5.9
9982 CVM;1;2023-11-19 21:23:04;7959;21.4;6;6.9
9982 CVM;1;2023-09-09 21:49:06;14476;21.8;5;5.9
9982 CVM;1;2023-12-31 19:00:41;9389;19.0;6;6.8
9982 CVM;1;2023-04-09 20:43:27;5656;20.7;6;6.9
9982 CVM;1;2023-05-14 19:48:16;3493;19.8;6;6.8
7130 OFV;1;2023-07-15 19:21:30;6766;19.4;5;5.8
7130 OFV;1;2023-10-08 21:40:36;10168;21.7;6;6.9
7130 OFV;1;2023-11-12 21:19:52;12578;21.3;6;6.9
7130 OFV;1;2023-04-16 21:20:57;16467;21.3;6;6.9
7130 OFV;1;2023-11-05 20:50:51;6417;20.8;6;6.9
7130 OFV;1;2023-11-25 20:02:52;15908;20.0;5;5.8
7130 OFV;1;2023-09-09 21:49:36;5925;21.8;5;5.9
7130 OFV;1;2023-08-26 20:51:18;9404;20.9;5;5.9
7130 OFV;1;2023-06-04 20:18:41;18286;20.3;6;6.8
7130 OFV;1;2023-03-26 21:32:03;10528;21.5;6;6.9
7130 OFV;1;2023-10-28 18:14:49;11284;18.2;5;5.8
7130 OFV;1;2023-02-12 21:46:46;12209;21.8;6;6.9
7130 OFV;1;2023-05-20 22:18:59;8061;22.3;5;5.9
7130 OFV;1;2023-05-27 21:54:53;9160;21.9;5;5.9
7130 OFV;1;2023-12-23 21:32:24;9340;21.5;5;5.9
7130 OFV;1;2023-01-28 21:25:13;11892;21.4;5;5.9
7130 OFV;1;2023-12-31 19:50:54;11830;19.8;6;6.8
7130 OFV;1;2023-12-10 21:46:24;9866;21.8;6;6.9
7130 OFV;1;2023-03-25 20:15:27;6638;20.3;5;5.8
7130 OFV;1;2023-01-14 21:53:22;8676;21.9;5;5.9
7130 OFV;1;2023-04-09 21:04:41;6595;21.1;6;6.9
7130 OFV;1;2023-05-06 21:50:31;11474;21.8;5;5.9
7130 OFV;1;2023-03-18 20:24:38;13086;20.4;5;5.8
7130 OFV;1;2023-06-11 21:55:05;11903;21.9;6;6.9
7130 OFV;1;2023-10-15 23:21:02;10367;23.4;6;7.0
7130 OFV;1;2023-12-17 20:07:18;19372;20.1;6;6.8
7130 OFV;1;2023-04-29 21:02:30;9520;21.0;5;5.9
7130 OFV;1;2023-04-01 21:37:34;13584;21.6;5;5.9
7130 OFV;1;2023-11-11 21:00:02;8681;21.0;5;5.9
7130 OFV;1;2023-01-01 21:48:58;16243;21.8;6;6.9
7130 OFV;1;2023-04-02 20:50:11;10554;20.8;6;6.9
7130 OFV;1;2023-01-07 21:35:53;12133;21.6;5;5.9
7130 OFV;1;2023-01-15 19:36:25;14833;19.6;6;6.8
7130 OFV;1;2023-02-18 20:02:11;13061;20.0;5;5.8
7130 OFV;1;2023-10-21 21:11:58;12488;21.2;5;5.9
7130 OFV;1;2023-01-29 21:49:27;11611;21.8;6;6.9
7130 OFV;1;2023-05-28 20:25:51;13268;20.4;6;6.8
7130 OFV;1;2023-01-21 20:53:49;10426;20.9;5;5.9
7130 OFV;1;2023-12-16 20:44:42;12804;20.7;5;5.9
2563 HKJ;1;2023-11-12 22:05:38;18615;22.1;6;6.9
2563 HKJ;1;2023-10-08 21:22:09;8355;21.4;6;6.9
2563 HKJ;1;2023-03-12 22:00:50;8570;22.0;6;6.9
2563 HKJ;1;2023-04-30 20:00:01;6993;20.0;6;6.8
2563 HKJ;1;2023-12-17 22:57:59;13701;23.0;6;7.0
2563 HKJ;1;2023-01-01 20:50:36;8053;20.8;6;6.9
2563 HKJ;1;2023-04-29 21:28:11;6339;21.5;5;5.9
2563 HKJ;1;2023-06-24 20:16:20;13360;20.3;5;5.8
2563 HKJ;1;2023-08-26 21:19:39;11195;21.3;5;5.9
2563 HKJ;1;2023-01-14 20:22:44;18917;20.4;5;5.8
2563 HKJ;1;2023-10-15 22:00:55;8779;22.0;6;6.9
2563 HKJ;1;2023-01-29 21:44:51;14291;21.7;6;6.9
2563 HKJ;1;2023-12-31 20:05:33;14262;20.1;6;6.8
2563 HKJ;1;2023-11-18 20:55:00;12804;20.9;5;5.9
2563 HKJ;1;2023-07-01 19:29:43;10709;19.5;5;5.8
2563 HKJ;1;2023-07-09 20:07:11;7497;20.1;6;6.8
2563 HKJ;1;2023-09-17 21:10:18;8550;21.2;6;6.9
2563 HKJ;1;2023-06-11 18:32:28;10012;18.5;6;6.8
2563 HKJ;1;2023-12-09 22:44:26;6965;22.7;5;5.9
2563 HKJ;1;2023-03-19 21:02:08;8328;21.0;6;6.9
2563 HKJ;1;2023-08-05 21:16:07;6258;21.3;5;5.9
2563 HKJ;1;2023-03-11 21:00:18;8401;21.0;5;5.9
2563 HKJ;1;2023-10-28 20:40:27;7858;20.7;5;5.9
2563 HKJ;1;2023-05-27 20:15:33;8929;20.3;5;5.8
2563 HKJ;1;2023-06-04 21:12:58;9215;21.2;6;6.9
2563 HKJ;1;2023-07-02 20:58:58;11267;21.0;6;6.9
2563 HKJ;1;2023-05-20 21:44:51;11859;21.7;5;5.9
2563 HKJ;1;2023-11-26 20:53:17;14832;20.9;6;6.9
2563 HKJ;1;2023-10-29 21:58:37;12336;22.0;6;6.9
2563 HKJ;1;2023-02-04 21:13:43;8081;21.2;5;5.9
2563 HKJ;1;2023-09-02 21:13:59;11822;21.2;5;5.9
2563 HKJ;1;2023-07-22 22:01:09;6633;22.0;5;5.9
2563 HKJ;1;2023-06-17 20:48:38;11216;20.8;5;5.9
2563 HKJ;1;2023-01-08 20:00:01;9700;20.0;6;6.8
2563 HKJ;1;2023-05-21 21:13:19;17601;21.2;6;6.9
2563 HKJ;1;2023-01-15 20:09:28;16761;20.2;6;6.8
2563 HKJ;1;2023-10-01 20:27:43;10830;20.5;6;6.9
2563 HKJ;1;2023-04-22 21:54:57;15451;21.9;5;5.9
2563 HKJ;1;2023-01-28 22:28:52;8620;22.5;5;5.9
2563 HKJ;1;2023-04-08 21:32:22;14953;21.5;5;5.9
2563 HKJ;1;2023-12-16 21:47:06;13301;21.8;5;5.9
2563 HKJ;1;2023-04-16 21:42:03;7729;21.7;6;6.9
2563 HKJ;1;2023-08-12 21:15:48;13702;21.3;5;5.9
2563 HKJ;1;2023-08-19 20:43:26;8305;20.7;5;5.9
2563 HKJ;1;2023-09-16 20:07:52;8340;20.1;5;5.8
2563 HKJ;1;2023-11-25 22:40:24;8721;22.7;5;5.9
9420 PNL;1;2023-03-26 22:15:05;8576;22.3;6;6.9
9420 PNL;1;2023-05-13 22:00:23;10982;22.0;5;5.9
9420 PNL;1;2023-07-22 21:05:54;12000;21.1;5;5.9
9420 PNL;1;2023-03-12 21:29:15;10510;21.5;6;6.9
9420 PNL;1;2023-06-11 21:42:49;12265;21.7;6;6.9
9420 PNL;1;2023-09-17 22:21:41;10724;22.4;6;6.9
9420 PNL;1;2023-09-16 23:07:39;9220;23.1;5;6.0
9420 PNL;1;2023-09-24 20:26:29;15946;20.4;6;6.8
9420 PNL;1;2023-02-12 22:30:35;11206;22.5;6;6.9
9420 PNL;1;2023-08-05 21:17:33;11159;21.3;5;5.9
9420 PNL;1;2023-08-20 19:41:23;3884;19.7;6;6.8
9420 PNL;1;2023-08-19 20:36:57;16188;20.6;5;5.9
9420 PNL;1;2023-05-07 21:25:35;5513;21.4;6;6.9
9420 PNL;1;2023-12-02 21:43:15;11121;21.7;5;5.9
9420 PNL;1;2023-02-26 21:40:27;7451;21.7;6;6.9
9420 PNL;1;2023-01-21 20:06:39;14119;20.1;5;5.8
9420 PNL;1;2023-12-17 21:24:41;8827;21.4;6;6.9
9420 PNL;1;2023-07-02 19:58:04;12764;20.0;6;6.8
9420 PNL;1;2023-03-04 22:38:42;14085;22.6;5;5.9
9420 PNL;1;2023-11-11 19:29:23;7888;19.5;5;5.8
9420 PNL;1;2023-10-14 23:27:03;7022;23.5;5;6.0
9420 PNL;1;2023-07-23 21:24:02;14581;21.4;6;6.9
9420 PNL;1;2023-11-19 19:36:05;14963;19.6;6;6.8
9420 PNL;1;2023-12-24 20:59:11;12213;21.0;6;6.9
9420 PNL;1;2023-12-31 20:39:03;7299;20.7;6;6.9
9420 PNL;1;2023-06-10 20:58:24;6268;21.0;5;5.9
9420 PNL;1;2023-06-03 20:14:53;8331;20.2;5;5.8
9420 PNL;1;2023-06-18 19:11:04;7128;19.2;6;6.8
9420 PNL;1;2023-03-25 19:48:07;5709;19.8;5;5.8
9420 PNL;1;2023-02-19 21:46:30;2601;21.8;6;6.9
9420 PNL;1;2023-02-05 21:51:12;6746;21.9;6;6.9
9420 PNL;1;2023-07-16 20:51:32;10387;20.9;6;6.9
5054 QYW;1;2023-08-13 21:03:43;7678;21.1;6;6.9
5054 QYW;1;2023-04-15 21:00:57;16726;21.0;5;5.9
5054 QYW;1;2023-04-16 20:33:00;16928;20.6;6;6.9
5054 QYW;1;2023-12-24 20:44:46;9560;20.7;6;6.9
5054 QYW;1;2023-09-03 20:37:38;7860;20.6;6;6.9
5054 QYW;1;2023-01-14 19:52:17;9649;19.9;5;5.8
5054 QYW;1;2023-05-07 21:27:05;12563;21.5;6;6.9
5054 QYW;1;2023-08-05 22:23:12;11332;22.4;5;5.9
5054 QYW;1;2023-12-23 20:08:02;10078;20.1;5;5.8
5054 QYW;1;2023-10-21 22:20:14;8495;22.3;5;5.9
5054 QYW;1;2023-02-11 21:25:03;14079;21.4;5;5.9
5054 QYW;1;2023-09-24 20:51:46;9834;20.9;6;6.9
5054 QYW;1;2023-07-30 20:52:49;5658;20.9;6;6.9
5054 QYW;1;2023-02-18 21:15:32;9828;21.3;5;5.9
5054 QYW;1;2023-01-28 18:53:22;10753;18.9;5;5.8
5054 QYW;1;2023-06-17 19:11:57;11464;19.2;5;5.8
5054 QYW;1;2023-01-07 21:11:42;11211;21.2;5;5.9
5054 QYW;1;2023-03-11 20:42:14;6277;20.7;5;5.9
5054 QYW;1;2023-12-02 20:10:10;9169;20.2;5;5.8
5054 QYW;1;2023-05-28 20:14:00;10369;20.2;6;6.8
5054 QYW;1;2023-03-12 20:39:21;11007;20.7;6;6.9
5054 QYW;1;2023-01-22 20:57:55;13362;21.0;6;6.9
5054 QYW;1;2023-03-04 20:21:55;9811;20.4;5;5.8
5054 QYW;1;2023-11-05 21:12:56;3327;21.2;6;6.9
5054 QYW;1;2023-11-25 20:36:42;19588;20.6;5;5.9
5054 QYW;1;2023-09-10 21:12:12;9175;21.2;6;6.9
5054 QYW;1;2023-05-21 20:40:15;5097;20.7;6;6.9
5054 QYW;1;2023-04-22 19:39:52;8984;19.7;5;5.8
5054 QYW;1;2023-02-04 20:11:31;6190;20.2;5;5.8
5054 QYW;1;2023-07-02 22:22:18;8618;22.4;6;6.9
5054 QYW;1;2023-11-12 21:53:18;13763;21.9;6;6.9
5054 QYW;1;2023-04-02 18:42:07;13340;18.7;6;6.8
5054 QYW;1;2023-04-09 20:17:07;13307;20.3;6;6.8
5054 QYW;1;2023-06-11 21:25:12;16293;21.4;6;6.9
5054 QYW;1;2023-05-27 21:41:01;8455;21.7;5;5.9
5054 QYW;1;2023-11-26 21:31:30;10972;21.5;6;6.9
5054 QYW;1;2023-07-23 20:07:15;13857;20.1;6;6.8
5054 QYW;1;2023-02-05 22:05:22;13266;22.1;6;6.9
5054 QYW;1;2023-01-01 22:46:43;8928;22.8;6;7.0
5054 QYW;1;2023-10-01 21:50:10;12866;21.8;6;6.9
5054 QYW;1;2023-09-16 18:37:01;6752;18.6;5;5.8
5054 QYW;1;2023-01-15 20:14:13;12708;20.2;6;6.8
5054 QYW;1;2023-11-11 19:26:05;8696;19.4;5;5.8
5054 QYW;1;2023-04-29 20:41:32;9167;20.7;5;5.9
5054 QYW;1;2023-05-14 20:00:26;7510;20.0;6;6.8
5054 QYW;1;2023-08-20 23:52:47;15342;23.9;6;7.0
5054 QYW;1;2023-10-22 21:03:29;10800;21.1;6;6.9
5054 QYW;1;2023-03-18 22:00:48;11002;22.0;5;5.9
9064 OFD;1;2023-06-03 21:09:55;7619;21.2;5;5.9
9064 OFD;1;2023-07-09 20:38:00;7611;20.6;6;6.9
9064 OFD;1;2023-04-08 20:33:34;7086;20.6;5;5.9
9064 OFD;1;2023-03-26 19:55:41;11797;19.9;6;6.8
9064 OFD;1;2023-07-01 20:36:38;15178;20.6;5;5.9
9064 OFD;1;2023-08-19 20:55:39;1173;20.9;5;5.9
9064 OFD;1;2023-06-24 22:05:50;13762;22.1;5;5.9
9064 OFD;1;2023-09-17 21:21:57;11672;21.4;6;6.9
9064 OFD;1;2023-10-21 19:19:41;8405;19.3;5;5.8
9064 OFD;1;2023-12-10 19:17:24;4311;19.3;6;6.8
9064 OFD;1;2023-01-28 21:15:17;16849;21.3;5;5.9
9064 OFD;1;2023-01-21 20:52:26;9420;20.9;5;5.9
9064 OFD;1;2023-01-08 21:45:06;13590;21.8;6;6.9
9064 OFD;1;2023-04-16 21:30:42;19743;21.5;6;6.9
9064 OFD;1;2023-11-05 21:18:19;7769;21.3;6;6.9
9064 OFD;1;2023-05-20 20:07:01;11494;20.1;5;5.8
9064 OFD;1;2023-09-03 21:44:33;12817;21.7;6;6.9
9064 OFD;1;2023-01-15 21:06:58;15311;21.1;6;6.9
9064 OFD;1;2023-02-26 23:01:59;13694;23.0;6;7.0
9064 OFD;1;2023-12-09 21:19:49;10253;21.3;5;5.9
9064 OFD;1;2023-02-19 20:53:06;15721;20.9;6;6.9
9064 OFD;1;2023-03-25 20:34:06;15582;20.6;5;5.9
9064 OFD;1;2023-09-24 20:35:31;18479;20.6;6;6.9
9064 OFD;1;2023-10-01 20:30:54;10019;20.5;6;6.9
9064 OFD;1;2023-06-18 20:37:55;12302;20.6;6;6.9
9064 OFD;1;2023-11-25 20:57:35;4687;21.0;5;5.9
9064 OFD;1;2023-08-27 22:57:46;9918;23.0;6;7.0
9064 OFD;1;2023-11-04 19:57:29;13760;20.0;5;5.8
9064 OFD;1;2023-07-29 21:44:40;13265;21.7;5;5.9
9064 OFD;1;2023-10-14 21:19:36;10839;21.3;5;5.9
9064 OFD;1;2023-09-16 22:36:34;9030;22.6;5;5.9
9064 OFD;1;2023-11-18 21:28:59;8717;21.5;5;5.9
6611 OFZ;1;2023-06-17 23:26:13;5038;23.4;5;6.0
6611 OFZ;1;2023-04-23 22:08:33;8503;22.1;6;6.9
6611 OFZ;1;2023-01-29 21:45:24;11090;21.8;6;6.9
6611 OFZ;1;2023-12-10 22:11:40;10441;22.2;6;6.9
6611 OFZ;1;2023-10-14 21:36:49;5859;21.6;5;5.9
6611 OFZ;1;2023-03-25 21:26:48;20154;21.4;5;5.9
6611 OFZ;1;2023-12-30 20:52:37;11448;20.9;5;5.9
6611 OFZ;1;2023-01-21 20:32:55;13092;20.5;5;5.9
6611 OFZ;1;2023-11-19 20:11:32;6263;20.2;6;6.8
6611 OFZ;1;2023-08-12 21:34:20;12486;21.6;5;5.9
6611 OFZ;1;2023-07-30 20:33:57;9713;20.6;6;6.9
6611 OFZ;1;2023-10-29 21:36:22;6412;21.6;6;6.9
6611 OFZ;1;2023-04-29 20:55:23;15030;20.9;5;5.9
6611 OFZ;1;2023-12-23 19:49:18;6782;19.8;5;5.8
6611 OFZ;1;2023-08-20 20:35:44;16444;20.6;6;6.9
6611 OFZ;1;2023-06-24 19:23:20;13408;19.4;5;5.8
6611 OFZ;1;2023-09-03 20:04:56;10777;20.1;6;6.8
6611 OFZ;1;2023-12-16 21:09:19;13020;21.2;5;5.9
6611 OFZ;1;2023-06-03 21:10:54;13851;21.2;5;5.9
6611 OFZ;1;2023-04-16 21:41:33;8869;21.7;6;6.9
6611 OFZ;1;2023-12-31 20:17:58;9247;20.3;6;6.8
6611 OFZ;1;2023-04-22 20:38:06;18730;20.6;5;5.9
6611 OFZ;1;2023-02-18 22:13:51;7518;22.2;5;5.9
6611 OFZ;1;2023-10-15 21:49:37;12453;21.8;6;6.9
6611 OFZ;1;2023-04-09 20:44:47;12641;20.7;6;6.9
6611 OFZ;1;2023-08-26 19:26:53;13203;19.4;5;5.8
6611 OFZ;1;2023-02-26 21:26:50;9183;21.4;6;6.9
6611 OFZ;1;2023-05-28 22:28:20;16800;22.5;6;6.9
6611 OFZ;1;2023-08-13 21:33:01;8523;21.6;6;6.9
6611 OFZ;1;2023-12-17 19:23:35;6551;19.4;6;6.8
6611 OFZ;1;2023-07-29 20:21:46;12959;20.4;5;5.8
6611 OFZ;1;2023-01-01 21:14:17;7046;21.2;6;6.9
6611 OFZ;1;2023-06-25 21:42:09;10829;21.7;6;6.9
6611 OFZ;1;2023-11-11 20:22:58;6107;20.4;5;5.8
6611 OFZ;1;2023-01-07 22:21:15;8226;22.4;5;5.9
6611 OFZ;1;2023-02-05 20:51:48;10884;20.9;6;6.9
6611 OFZ;1;2023-07-15 20:04:50;13384;20.1;5;5.8
6611 OFZ;1;2023-11-18 23:35:51;10771;23.6;5;6.0
6611 OFZ;1;2023-04-02 20:15:53;9028;20.3;6;6.8
6611 OFZ;1;2023-12-03 21:11:30;12571;21.2;6;6.9
6611 OFZ;1;2023-07-09 18:31:43;7272;18.5;6;6.8
6611 OFZ;1;2023-05-20 20:35:41;17923;20.6;5;5.9
6611 OFZ;1;2023-07-22 21:31:37;6115;21.5;5;5.9
6611 OFZ;1;2023-12-02 21:26:07;16448;21.4;5;5.9
6611 OFZ;1;2023-10-01 22:19:16;18809;22.3;6;6.9
6611 OFZ;1;2023-09-09 22:26:50;10798;22.4;5;5.9
6611 OFZ;1;2023-03-12 20:41:25;9366;20.7;6;6.9
6611 OFZ;1;2023-03-18 21:01:36;8741;21.0;5;5.9
6611 OFZ;1;2023-05-13 20:06:08;9140;20.1;5;5.8
6611 OFZ;1;2023-03-11 20:21:00;6549;20.4;5;5.8
6611 OFZ;1;2023-01-28 20:43:47;10523;20.7;5;5.9
1681 AQX;2;2023-12-31 11:36:43;6162;11.6;6;6.5
1681 AQX;2;2023-05-21 10:30:56;14119;10.5;6;6.4
1681 AQX;2;2023-05-07 09:33:23;8586;9.6;6;6.4
1681 AQX;2;2023-07-23 10:16:57;14958;10.3;6;6.4
1681 AQX;2;2023-05-28 12:03:52;12045;12.1;6;6.5
1681 AQX;2;2023-11-26 11:30:43;2284;11.5;6;6.5
1681 AQX;2;2023-07-09 11:37:32;7893;11.6;6;6.5
1681 AQX;2;2023-11-12 10:35:55;12316;10.6;6;6.4
1681 AQX;2;2023-06-18 10:15:44;10479;10.3;6;6.4
1681 AQX;2;2023-08-06 11:11:13;6511;11.2;6;6.5
1681 AQX;2;2023-01-08 11:21:41;13141;11.4;6;6.5
1681 AQX;2;2023-04-02 11:07:45;7309;11.1;6;6.5
1681 AQX;2;2023-10-15 11:50:23;9223;11.8;6;6.5
1681 AQX;2;2023-11-05 11:11:14;11405;11.2;6;6.5
1681 AQX;2;2023-06-04 09:36:35;14161;9.6;6;6.4
1681 AQX;2;2023-03-19 11:48:27;10225;11.8;6;6.5
8497 CND;2;2023-02-26 13:23:50;15830;13.4;6;6.6
8497 CND;2;2023-05-07 11:14:24;11835;11.2;6;6.5
8497 CND;2;2023-04-02 12:41:24;10315;12.7;6;6.5
8497 CND;2;2023-09-10 10:09:41;13821;10.2;6;6.4
8497 CND;2;2023-10-01 10:33:45;4249;10.6;6;6.4
8497 CND;2;2023-02-05 09:59:30;11622;10.0;6;6.4
8497 CND;2;2023-06-25 09:35:24;13622;9.6;6;6.4
8497 CND;2;2023-07-30 11:31:54;7029;11.5;6;6.5
8497 CND;2;2023-03-05 10:43:03;6941;10.7;6;6.4
8497 CND;2;2023-08-20 11:30:09;13391;11.5;6;6.5
8497 CND;2;2023-02-12 10:50:45;16468;10.8;6;6.5
8497 CND;2;2023-11-19 12:51:51;9723;12.9;6;6.5
6736 AOO;2;2023-12-03 08:01:58;11713;8.0;6;6.3
6736 AOO;2;2023-01-15 09:36:30;16544;9.6;6;6.4
6736 AOO;2;2023-11-05 12:51:07;12921;12.9;6;6.5
6736 AOO;2;2023-03-05 11:22:42;13226;11.4;6;6.5
6736 AOO;2;2023-07-02 11:11:46;15630;11.2;6;6.5
6736 AOO;2;2023-03-26 12:15:57;11608;12.3;6;6.5
6736 AOO;2;2023-02-19 10:04:25;10205;10.1;6;6.4
6736 AOO;2;2023-06-18 11:18:50;11246;11.3;6;6.5
6736 AOO;2;2023-09-17 12:28:36;11859;12.5;6;6.5
6736 AOO;2;2023-01-29 10:37:37;11535;10.6;6;6.4
6736 AOO;2;2023-01-22 10:59:55;13355;11.0;6;6.5
6736 AOO;2;2023-07-30 11:45:26;14762;11.8;6;6.5
6736 AOO;2;2023-11-26 10:51:28;14334;10.9;6;6.5
6736 AOO;2;2023-05-14 10:47:29;13813;10.8;6;6.5
6736 AOO;2;2023-08-20 11:07:32;10784;11.1;6;6.5
6736 AOO;2;2023-10-29 11:08:34;8928;11.1;6;6.5
6736 AOO;2;2023-12-17 10:21:10;9515;10.4;6;6.4
6736 AOO;2;2023-06-25 11:15:34;9608;11.3;6;6.5
6736 AOO;2;2023-09-10 09:27:37;15231;9.5;6;6.4
6736 AOO;2;2023-03-19 12:04:42;10475;12.1;6;6.5
6736 AOO;2;2023-04-09 10:59:43;7963;11.0;6;6.5
6736 AOO;2;2023-03-12 11:26:55;13392;11.4;6;6.5
6736 AOO;2;2023-04-02 11:31:37;10626;11.5;6;6.5
6736 AOO;2;2023-08-06 13:35:10;8256;13.6;6;6.6
9764 RVE;2;2023-02-05 11:01:34;15008;11.0;6;6.5
9764 RVE;2;2023-10-15 10:57:39;11073;11.0;6;6.5
9764 RVE;2;2023-10-01 10:38:50;17415;10.6;6;6.4
9764 RVE;2;2023-02-26 09:19:20;7607;9.3;6;6.4
9764 RVE;2;2023-09-03 10:51:02;17704;10.9;6;6.5
9764 RVE;2;2023-01-29 12:01:32;10520;12.0;6;6.5
9764 RVE;2;2023-05-14 11:41:57;9613;11.7;6;6.5
9764 RVE;2;2023-02-12 10:31:53;4483;10.5;6;6.4
9764 RVE;2;2023-01-08 11:29:19;14492;11.5;6;6.5
9764 RVE;2;2023-09-24 09:50:28;14708;9.8;6;6.4
7237 PSO;2;2023-04-09 11:01:52;8080;11.0;6;6.5
7237 PSO;2;2023-06-04 11:44:36;15282;11.7;6;6.5
7237 PSO;2;2023-12-10 12:36:06;11102;12.6;6;6.5
7237 PSO;2;2023-11-19 10:55:31;12624;10.9;6;6.5
7237 PSO;2;2023-11-12 10:44:45;8634;10.7;6;6.4
7237 PSO;2;2023-09-03 11:12:09;11439;11.2;6;6.5
7237 PSO;2;2023-03-19 11:36:29;15723;11.6;6;6.5
7237 PSO;2;2023-02-26 11:07:32;9209;11.1;6;6.5
7237 PSO;2;2023-03-05 09:07:16;9319;9.1;6;6.4
7237 PSO;2;2023-08-27 10:36:59;5869;10.6;6;6.4
7237 PSO;2;2023-01-29 11:43:48;11911;11.7;6;6.5
7237 PSO;2;2023-06-18 10:42:00;9440;10.7;6;6.4
7237 PSO;2;2023-11-26 08:57:33;4298;9.0;6;6.4
7237 PSO;2;2023-12-03 10:22:15;4168;10.4;6;6.4
7237 PSO;2;2023-04-16 09:39:49;11158;9.7;6;6.4
7237 PSO;2;2023-02-05 11:53:04;12717;11.9;6;6.5
7237 PSO;2;2023-10-01 11:47:38;14386;11.8;6;6.5
7237 PSO;2;2023-05-21 10:36:02;17209;10.6;6;6.4
7237 PSO;2;2023-01-01 12:51:08;6698;12.9;6;6.5
7237 PSO;2;2023-05-14 12:14:14;15914;12.2;6;6.5
7237 PSO;2;2023-10-08 11:28:39;15229;11.5;6;6.5
7237 PSO;2;2023-01-08 09:33:14;10345;9.6;6;6.4
6487 TYA;2;2023-02-19 11:09:51;5593;11.2;6;6.5
6487 TYA;2;2023-07-23 11:34:33;20779;11.6;6;6.5
6487 TYA;2;2023-10-22 11:45:43;18657;11.8;6;6.5
6487 TYA;2;2023-12-31 09:49:17;19081;9.8;6;6.4
6487 TYA;2;2023-06-11 13:13:57;12892;13.2;6;6.5
6487 TYA;2;2023-04-23 09:27:29;13244;9.5;6;6.4
6487 TYA;2;2023-07-09 11:45:15;13314;11.8;6;6.5
6487 TYA;2;2023-06-04 11:11:23;9350;11.2;6;6.5
6487 TYA;2;2023-07-02 10:36:26;15043;10.6;6;6.4
6487 TYA;2;2023-06-18 11:29:38;9195;11.5;6;6.5
6487 TYA;2;2023-11-26 09:17:16;16933;9.3;6;6.4
6487 TYA;2;2023-10-01 09:41:00;14298;9.7;6;6.4
6487 TYA;2;2023-04-09 10:59:02;6178;11.0;6;6.5
8857 JFH;2;2023-11-26 12:56:09;15662;12.9;6;6.5
8857 JFH;2;2023-03-26 09:37:55;11901;9.6;6;6.4
8857 JFH;2;2023-07-02 11:14:26;9579;11.2;6;6.5
8857 JFH;2;2023-03-19 12:04:25;11041;12.1;6;6.5
8857 JFH;2;2023-03-12 11:25:56;16006;11.4;6;6.5
8857 JFH;2;2023-12-10 11:22:57;10175;11.4;6;6.5
8857 JFH;2;2023-09-03 09:55:12;13989;9.9;6;6.4
8857 JFH;2;2023-02-05 11:04:39;9457;11.1;6;6.5
8857 JFH;2;2023-05-14 12:35:38;10409;12.6;6;6.5
8857 JFH;2;2023-10-22 09:37:06;17970;9.6;6;6.4
